id,name,category,address,district,hours,rating,chain,seats
d23cbccd2f8747deacbe5b54e1ad9852,Кофе-лавка Стол,кофейня,"Москва, Ломоносовский проспект, 18",Юго-Западный административный округ,"ежедневно, 09:00–21:00",4.2,0,
6db18c23bdd144839d0edc31c4f855c5,Домино'с Пицца,пиццерия,"Москва, улица Доватора, 11к1",Центральный административный округ,"ежедневно, 10:00–23:00",4.2,1,
31cf4dad1781401e8c6730607a4ed64f,ДаблБи,кофейня,"Москва, улица Шаболовка, 29, корп. 2",Центральный административный округ,"пн-пт 08:00–20:00; сб,вс 10:00–20:00",4.3,1,130.0
3ef2e791edc6468e86ebaa9eaf6d6147,Шайба,быстрое питание,"Москва, Пушкинская набережная",Центральный административный округ,"ежедневно, 10:00–22:00",4.3,0,
b5ba5ef4356642a7bc0a8166ae9fe84d,Алло! Пицца,пиццерия,"Москва, Севастопольский проспект, 15",Юго-Западный административный округ,"ежедневно, 10:00–23:00",4.2,1,
8bddebeb87e24df9ba31cc63981edd7c,Время обеда,кафе,"Москва, Нагорный проезд, 7с1к1",Южный административный округ,пн-пт 09:00–18:00,4.2,0,
c38773c97ddd44b69dd6da7fd65974e8,One Price Coffee,кофейня,"Москва, улица 10-летия Октября, 13",Центральный административный округ,"пн-пт 07:00–23:00; сб,вс 08:00–22:00",4.2,1,
069c4ccdbeb44eacb416b2acb9fd3712,Штолле,булочная,"Москва, улица 10-летия Октября, 9",Центральный административный округ,"ежедневно, 08:00–21:00",4.4,1,8.0
b30b102724f94ae1be2a34f4437f6e0b,Шоколадница,кофейня,"Москва, Большая Черёмушкинская улица, 1",Юго-Западный административный округ,"ежедневно, 10:00–22:00",4.0,1,64.0
69f2f66a63264b4089115fe53f554d19,Кафе при киностудии Мосфильм,кафе,"Москва, Мосфильмовская улица, 1",Западный административный округ,,4.1,0,100.0
2f97388a2b5447d892a69d7cb393b257,Nado Coffee,кофейня,"Москва, улица Строителей, 6, корп. 6",Юго-Западный административный округ,"пн-пт 08:00–20:00; сб,вс 09:00–21:00",4.4,0,
f75b072b7ee24d4386eaeecb5b918e42,City life,кафе,"Москва, Большая Черёмушкинская улица, 34",Юго-Западный административный округ,пн-пт 09:00–18:00,4.0,1,
da466a582507405d9af3e7cff4833a98,Crazy kitch brothers,"бар,паб","Москва, Ломоносовский проспект, 25, корп. 5",Западный административный округ,"ежедневно, 16:00–00:00",4.3,0,60.0
65287087480e4e4e93db4b76037cc943,Кафе,ресторан,"Москва, Профсоюзная улица, 5/9",Юго-Западный административный округ,"ежедневно, круглосуточно",3.9,0,
079e5f3644fa4cd2a349b79e0e015f2f,Чайхана Райхан,кафе,"Москва, Большая Черёмушкинская улица, 21",Юго-Западный административный округ,"ежедневно, круглосуточно",4.1,0,
53e1b867a5444483b4ddfa36d38bb614,Мегобребо,столовая,"Москва, Городская улица, 8",Южный административный округ,пн-пт 09:00–18:00,4.2,0,80.0
452b2f39b4474b96b2ac333b4b90355d,Drive Café,кафе,"Москва, улица Дмитрия Ульянова, 9А, стр. 1",Юго-Западный административный округ,"ежедневно, круглосуточно",3.8,1,90.0
e3b2487f26ef4630b91ac29c9f9b1b37,Шоколадница,кофейня,"Москва, улица Орджоникидзе, 11с1",Южный административный округ,"ежедневно, 10:00–22:00",4.1,1,
21d92e9482514ecdb3b79a960e7620f4,Элеонора,кафе,"Москва, улица Вавилова, 61, стр. 2",Юго-Западный административный округ,пн-пт 10:00–16:30,4.0,0,70.0
4473edb25a7641929aeff58bbb1e4ee5,Нияма,ресторан,"Москва, Севастопольский проспект, 11Е",Юго-Западный административный округ,"пн-чт 11:00–22:00; пт,сб 11:00–23:00; вс 11:00–22:00",4.2,1,40.0
3e45cdff3d514619a0c1d2fd8b020dad,Печь и мангал,быстрое питание,"Москва, улица Шаболовка, 58, стр. 2",Южный административный округ,"ежедневно, 10:00–22:00",4.3,0,130.0
d295a6f1fb8e4de885ce79cadad0f817,"Может, кофе?",кофейня,"Москва, Лужнецкая набережная, 2/4с46",Центральный административный округ,"пн-пт 08:30–21:00; сб,вс 09:00–21:00",4.7,1,
2fb1ab1202464e368a571462a47ae8d9,Han cook,быстрое питание,"Москва, улица Вавилова, 64/1с1",Юго-Западный административный округ,"пн,вт,ср,пт,сб,вс 09:00–22:00",4.6,0,
5baaabeaaad849c48340bbdef9e7fad1,Эдельвейс,кафе,"Москва, Ленинский проспект, 65, корп. 3",Юго-Западный административный округ,,2.9,0,45.0
249d973cd76f4b5581ee730dde89fbf7,Cofix,кофейня,"Москва, улица Вавилова, 3",Южный административный округ,"ежедневно, 09:00–22:00",4.0,1,320.0
d6679eb2ccde4a9fb8a815c94f2c4edb,Щепка,кафе,"Москва, Ленинский проспект, 60/2",Юго-Западный административный округ,"ежедневно, 09:00–21:00",3.8,1,34.0
